idx,aq1_1,aq1_2,aq2_1,aq2_2,aq3_1,aq3_2,aq4_1,aq4_2,aq5_1,aq5_2,aq6_1,aq6_2,aq7_1,aq7_2,aq8_1,aq8_2,aq9_1,aq9_2,aq10_1,aq10_2,aq11_1,aq11_2,aq12_1,aq12_2,aq13_1,aq13_2,aq14_1,aq14_2,aq15_1,aq15_2,aq16_1,aq16_2,aq17_1,aq17_2,aq18_1,aq18_2,aq19_1,aq19_2,aq20_1,aq20_2,aq21_1,aq21_2,aq22_1,aq22_2,aq23_1,aq23_2,aq24_1,aq24_2,aq25_1,aq25_2,aq26_1,aq26_2,aq27_1,aq27_2,aq28_1,aq28_2,aq29_1,aq29_2,aq30_1,aq30_2,aq31_1,aq31_2,aq32_1,aq32_2,aq33_1,aq33_2,aq34_1,aq34_2,aq35_1,aq35_2,aq36_1,aq36_2,aq37_1,aq37_2,aq38_1,aq38_2,aq39_1,aq39_2,aq40_1,aq40_2,aq41_1,aq41_2,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15_1,bq15_2,bq15_3,bq16,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq19,bq20,bq21,bq22,bq23,bq24_1,bq24_2,bq24_3,bq24_4,bq24_5,bq24_6,bq24_7,bq24_8,bq25,bq26,bq27,bq28,bq29,bq35,bq36,bq37,bq38,bq39_1,bq39_2,bq40,bq41_1,bq41_2,bq41_3,knowcode,text_response,major
0,3,3,3,3,3,3,4,4,3,4,3,3,2,2,2,2,2,2,3,3,3,3,4,4,3,3,3,2,3,3,5,6,5,6,4,5,2,2,5,6,3,4,4,5,3,4,4,4,2,2,3,4,4,5,3,4,1,0,2,2,3,3,1,0,2,2,2,5,3,4,3,4,2,2,2,2,5,2,2,2,2,2,3,1,6,1,1,2,5,2,4,3,3,4,4,3,4,3,4,4,4,4,3,2,4,3,2,2,4,4,2,3,2,3,3,2,2,3,5,10,1,1,1,2,2,2,2,2,3,3,4,3,2,4,1,52,2,1,1,1,4000,0,2200,825101,자동차도장기능사 실무교육 생산 설비 자동화 없다 없다 건설현장 노무직 없다,실업
1,4,5,4,5,3,4,3,4,3,4,1,0,1,0,1,0,1,0,2,3,3,4,3,4,4,5,2,2,3,4,3,4,3,4,3,4,1,0,2,3,1,0,3,4,3,4,2,3,1,0,3,4,2,3,3,4,1,0,1,0,3,4,1,0,3,4,3,4,1,0,3,4,3,4,3,4,2,2,1,0,1,0,13,1,3,1,2,0,6,5,4,3,3,4,4,2,3,3,4,4,3,3,3,2,3,3,4,3,4,2,2,4,2,2,4,2,3,3,6,50,2,2,2,2,2,2,2,2,4,3,4,3,2,2,1,38,4,1,1,1,0,0,2400,140204,건축전기설비기술사 건설 수주 없다 드라이버 가위,건축공학
2,3,4,3,4,3,4,5,6,4,5,1,0,1,0,3,4,3,4,3,4,1,0,3,4,3,4,1,0,3,4,3,4,3,4,3,4,3,4,3,4,4,5,3,4,3,4,2,3,1,0,3,3,2,3,3,4,1,0,3,4,3,4,1,0,3,4,3,4,3,4,3,4,3,4,3,4,1,0,1,0,1,0,13,1,3,1,2,0,6,5,4,4,3,4,4,1,3,4,4,4,3,3,3,2,3,3,4,3,4,2,2,4,2,2,4,2,3,2,5,40,2,2,2,2,2,2,2,2,4,4,4,2,2,2,1,50,4,1,1,1,4000,0,2400,140204,건축전기설비기술사 신축 건설 경기 없다 건축 설계 오토캐드 파이프 보일러,건축공학
3,3,3,3,3,3,5,4,5,4,6,3,5,3,4,4,5,5,5,4,5,3,4,4,5,3,5,3,4,4,4,3,4,2,2,4,4,4,2,4,3,5,3,5,2,4,3,4,2,4,2,3,4,4,4,3,5,1,0,3,5,4,4,4,3,5,5,5,4,4,3,4,4,4,4,4,4,4,4,4,2,4,3,13,2,6,1,1,1,2,4,4,3,2,4,4,3,3,3,3,3,3,2,2,4,2,2,2,3,4,4,4,3,2,2,3,1,4,2,6,30,2,1,1,2,1,1,1,1,3,4,4,4,4,4,1,42,4,1,1,1,7000,0,3500,140601,지적기사 측량 정보통신기술 교육 무량 감소 자동화 지적기사 토탈 스테이션 지적공무원,환경학과
4,4,5,3,4,3,4,4,5,3,4,1,0,1,0,1,0,1,0,3,4,2,2,3,4,3,4,1,0,3,4,3,4,3,4,3,4,1,0,2,3,3,4,3,4,3,4,2,3,1,0,2,3,2,3,2,3,1,0,1,0,1,0,1,0,2,2,2,3,1,0,2,3,2,2,3,4,2,2,1,0,1,0,6,1,4,1,2,0,6,5,4,2,2,4,4,1,3,3,4,4,3,3,2,3,2,2,4,3,4,3,2,4,2,2,4,2,3,2,3,40,2,2,2,2,2,2,2,2,4,3,4,3,3,2,1,51,4,1,1,1,4000,0,2500,140204,건축전기설비기술사 부동산 거품 건축 경기도 덩달아 불황 없다 캐드 엑셀 건축 도면,건축공학
5,5,6,4,5,5,7,4,6,3,5,4,6,4,6,3,3,4,6,4,5,1,0,4,6,2,1,5,7,5,7,3,5,2,1,3,4,3,5,2,3,2,4,2,1,3,3,4,4,4,6,4,6,3,5,3,4,5,7,5,6,4,6,5,7,3,5,4,6,3,5,4,6,5,7,3,5,5,7,5,7,2,3,15,2,2,2,1,6,6,5,4,5,4,4,5,4,5,4,4,5,5,4,4,4,5,4,4,2,4,5,4,4,5,4,4,4,4,4,6,60,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,52,4,1,1,1,5800,0,2100,522202,다양한 업무파악 전문 직업 안내원 볼펜 없다 없다 없다,경제학
6,3,5,5,7,5,7,3,5,4,6,5,7,3,5,4,6,3,5,5,7,3,5,5,7,3,1,4,5,3,5,4,6,3,2,4,6,2,3,4,6,3,3,2,2,4,6,5,7,5,7,3,3,2,2,2,3,5,7,3,5,5,7,5,7,4,5,3,2,4,6,3,6,4,6,5,7,2,2,2,1,3,4,15,2,2,2,1,6,6,5,4,5,4,4,5,4,5,4,4,4,5,4,4,4,5,4,4,1,4,5,4,4,4,4,4,4,3,3,6,70,1,1,1,1,1,1,1,1,4,4,4,4,3,1,1,41,4,1,1,1,5800,0,2100,522202,자유로운 근무조건 근무 안내원 컴퓨터 볼펜 없다 없다 없다,컴퓨터학
7,4,5,4,5,4,5,3,4,2,2,3,5,3,4,2,1,3,5,3,5,2,1,3,4,2,2,3,3,2,3,3,5,4,4,4,5,3,5,2,2,2,1,4,4,3,3,2,3,1,0,2,3,1,0,2,2,1,0,1,0,1,0,1,0,2,3,3,5,1,0,2,1,1,0,2,1,5,2,3,3,2,3,3,1,2,1,2,0,4,2,2,3,2,4,4,3,3,3,3,4,4,3,3,2,4,4,3,3,5,4,4,3,3,4,3,3,3,2,2,20,2,2,1,2,1,2,2,2,3,4,4,3,4,3,1,39,3,1,1,1,4800,0,2000,825101,도장기능사 자동화 없다 퍼티 프라이머 페이스 스틱 프라이머 학생 없다 모름 없다,자동화
8,4,4,4,5,4,5,4,5,4,5,4,6,4,6,4,5,4,6,4,6,4,6,4,6,4,6,4,6,4,6,4,6,3,4,4,5,4,5,4,6,4,5,3,4,3,4,4,5,5,7,5,7,4,5,4,5,3,5,4,5,4,5,3,4,4,5,5,7,4,6,4,6,4,5,4,5,3,4,4,6,3,4,13,2,5,1,1,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,2,4,3,4,3,4,4,2,3,3,4,4,2,4,2,5,40,1,1,1,2,2,2,1,1,4,5,2,4,3,4,1,45,3,1,1,1,7000,0,4000,621401,항공교통관제사 항공교통관제관련교육 인공 지능 자동화 관제사 관제 관련 시스템 관제사 동일함 운항관리사,전자공학
9,2,2,2,2,3,4,3,1,3,1,3,2,3,1,3,2,3,2,3,5,2,1,2,1,3,4,2,3,3,3,3,2,3,2,4,2,3,1,3,3,4,1,4,1,4,2,4,1,3,2,2,2,4,3,4,4,3,2,3,3,4,4,4,1,4,2,3,2,3,1,3,2,4,4,3,1,4,1,3,1,3,1,4,1,2,1,1,1,2,1,3,2,2,4,4,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,1,1,5,50,2,2,2,2,2,1,2,2,2,3,2,3,1,3,2,58,2,1,1,1,3400,0,2000,158402,충전시설관리 위험관리사 현장적응기간 위험물취급메뉴얼숙지 가스 사용 가스안전관리사 가스 충전기 위험 취급 메뉴얼 측정기 없다 없다 없다,상고
