idx,cq1,cq2,cq3,cq4,cq5,cq6,cq7,cq8,cq9,cq10,cq11,cq12,cq13,cq14,cq15,cq16,cq17,cq18,cq19,cq20,cq21,cq22,cq23,cq24,cq25,cq26,cq27,cq28,cq29,cq30,cq31,cq32,cq33,cq34,cq35,cq36,cq37,cq38,cq39,cq40,cq41,cq42,cq43,cq44,cq45,cq46,cq47,cq48,cq49,cq50_1,cq50_2,cq50_3,cq50_4,cq50_5,cq50_6,cq50_7,cq50_8,iq1,iq2,iq3,iq4,iq5,iq6,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13,bq14,bq15,bq16,bq17,bq18,bq19,bq20,bq21,bq221,bq222,bq223,bq231,bq232,bq233,bq234,bq235,bq241,bq242,bq243,bq244,bq245,bq25,bq25_1,bq26_1,bq26_1a,bq26_2,bq26_2a,bq26_3,bq26_3a,bq26_4,bq26_4a,bq27,bq28,bq34,bq35,bq36,bq37,bq38,bq38_1,bq38_2,bq39,bq40,bq41_1,bq41_2,bq41_3,knowcode,text_response,major
9486,5,3,4,2,2,5,4,5,4,4,4,3,3,4,1,5,3,4,2,4,1,1,1,1,1,1,3,2,4,2,1,1,2,4,3,4,4,3,4,4,4,4,4,4,4,2,1,1,1,2,1,1,1,1,1,3,1,4,3,5,4,3,2,3,1,2,1.0,1,3.0,7,4,4,4,4,4,4,4,4.0,4,4,4,4,1,2,1,2,1,1,1,4,70.0,1,0,0.0,1,0,0,0.0,0,1,0,0,0,0,2,0,1.0,2,1.0,2,1.0,1,1.0,1,2,4.0,3.0,1.0,27.0,3.0,1.0,1,0,1,42.0,3800,3400,0,306301,치과기공사 세라믹 지르크니아 제작 방법 프로그램 사용방법 직업 요구 증가 치기 공사 치카공 교정전문가,치기공과
9487,4,3,4,4,4,4,4,4,4,3,3,3,3,4,3,2,2,2,1,2,1,1,1,1,1,1,1,1,4,2,2,1,1,3,1,3,3,3,3,3,4,4,3,3,4,3,2,1,3,1,2,2,2,1,1,1,1,4,3,2,2,3,4,10,1,2,1.0,1,5.0,7,2,3,4,3,4,5,3,3.0,0,5,5,5,3,1,1,1,1,1,2,3,100.0,1,0,0.0,1,0,0,0.0,0,0,0,3,0,0,1,2,3.0,0,3.0,0,3.0,0,3.0,0,1,2.0,3.0,1.0,28.0,2.0,1.0,2,0,1,40.0,2300,1800,0,133204,정보처리기사 게임 개발 독학 네트워크 기본 지식 게임 산업 축소 서브라임텍스트 유니티 리눅스 정보보호컨설턴트 일반 프로그래머 없다,이과
9488,4,1,5,3,3,4,2,4,1,2,1,2,2,2,2,1,1,2,2,1,1,2,1,1,2,1,2,3,2,4,1,4,3,3,1,4,4,5,4,1,5,3,4,4,2,4,2,1,2,1,1,1,1,1,1,1,1,5,3,3,4,3,4,6,1,1,2.0,2,0.0,5,1,3,2,2,3,3,3,2.0,2,2,0,2,2,2,3,1,2,3,1,4,0.0,0,2,0.0,0,0,0,0.0,5,0,0,0,0,5,3,0,2.0,0,2.0,0,2.0,0,2.0,0,2,2.0,4.0,1.0,59.0,2.0,2.0,0,6,0,30.0,0,0,3000,702502,대형화 추세 사장 망치 실리콘 사다리 유리칼 회사원,기계과
9489,4,3,4,4,4,3,3,2,3,3,2,3,3,4,4,3,3,2,2,1,2,2,1,1,1,4,3,4,4,2,2,2,2,4,4,3,4,3,3,4,4,4,3,3,4,3,1,1,3,3,1,3,1,2,1,1,1,4,4,3,4,5,5,13,5,2,1.0,2,0.0,4,4,4,5,5,4,5,3,3.0,4,4,4,4,1,1,1,2,1,1,1,4,80.0,1,0,0.0,1,0,0,0.0,0,1,0,0,0,0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,3.0,2.0,1.0,38.0,4.0,1.0,1,0,1,40.0,3350,2750,0,121201,화학분석기능사 과학 발달 실험 검사 분석 보조 전자현미경 컴퓨터,물리 과학
9490,3,2,3,1,1,4,3,4,3,2,3,1,1,5,2,3,4,1,1,1,1,1,1,1,1,1,1,3,4,2,2,3,4,4,3,1,1,1,1,1,3,4,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,4,4,2,4,3,4,3,1,2,1.0,2,0.0,7,4,4,4,3,4,4,3,4.0,0,4,4,4,1,1,1,1,1,1,1,4,85.0,1,0,0.0,1,0,0,0.0,0,1,0,0,0,0,1,1,1.0,2,1.0,2,1.0,2,1.0,1,2,4.0,4.0,2.0,27.0,4.0,1.0,1,0,1,40.0,2500,2300,0,306301,치과기능사 고령화 틀니 인플란트등 의료 보험 보장 범위 확대 니켈 크롬 코발트 판매업,치기공학
9491,3,3,4,4,3,4,4,3,4,2,3,3,3,4,3,2,3,2,1,1,1,1,1,1,1,1,1,1,4,2,2,4,1,4,1,3,2,3,2,3,4,4,3,2,3,3,1,1,3,2,3,3,3,1,3,2,1,3,4,4,3,4,4,10,1,2,2.0,1,5.0,3,5,3,4,1,3,5,2,3.0,0,5,5,4,1,1,1,2,1,2,2,3,100.0,1,0,0.0,1,0,0,0.0,0,1,0,0,0,0,1,2,1.0,1,1.0,1,1.0,1,3.0,0,1,2.0,3.0,2.0,26.0,4.0,1.0,1,0,1,42.0,2500,2000,0,133204,프로그래밍 언어 엔진 활용 사회 업종 대해 시선 때문 visual studio unity engine 게임그래픽 디자인 소프트웨어개발자 없다,게임
9492,5,4,5,4,4,4,3,3,3,4,4,3,3,5,2,1,3,1,4,1,2,1,1,1,1,4,3,3,4,2,2,5,2,2,5,4,4,4,4,4,4,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,2,4,13,2,4,2.0,2,0.0,7,4,4,2,3,3,4,4,4.0,4,5,5,4,1,1,1,1,1,1,1,1,100.0,1,0,0.0,1,0,0,0.0,0,1,0,0,0,0,1,2,1.0,2,1.0,2,1.0,2,1.0,1,2,3.0,3.0,1.0,33.0,5.0,1.0,1,0,1,40.0,3200,2800,0,121201,변화 실험기구,나노신소재학
9493,4,1,5,4,4,5,4,4,4,4,4,4,4,5,1,1,4,4,1,1,5,4,4,5,1,4,1,4,3,3,2,2,4,3,4,2,3,4,1,3,4,3,3,3,4,4,1,1,4,1,1,1,1,1,1,1,1,3,1,1,2,1,1,17,4,2,1.0,1,4.0,5,5,3,2,3,3,4,3,3.0,3,3,3,4,1,1,1,1,1,1,2,2,100.0,1,0,0.0,1,0,0,0.0,0,0,2,0,0,0,1,2,1.0,1,1.0,1,1.0,1,1.0,1,1,2.0,3.0,2.0,27.0,4.0,1.0,2,0,1,38.0,2880,2040,0,306401,치과위생사면허증 기본적인 진료준비 어시스트 환자응대 진료스킬 수요 감소 석션 스케일러,치위생
9494,5,5,5,1,2,5,5,3,3,5,5,5,3,5,1,1,4,5,5,3,4,3,2,1,1,1,1,3,5,2,1,5,3,3,5,4,4,3,3,3,5,5,5,2,5,5,1,1,4,1,1,1,1,1,1,1,1,4,5,5,5,1,1,3,4,1,1.0,1,5.0,6,4,3,2,4,5,5,3,4.0,4,4,4,4,1,1,1,2,1,1,1,4,100.0,1,0,0.0,1,0,0,0.0,0,1,0,0,0,0,1,2,1.0,1,1.0,1,1.0,1,1.0,1,2,2.0,3.0,1.0,37.0,3.0,1.0,1,0,1,42.0,4000,2000,0,306301,치기공사 의료기기 제작이론 자동차 캐드,치기공
9495,5,2,5,5,5,2,4,5,4,3,4,3,2,5,2,1,2,1,1,1,2,1,1,2,1,2,2,1,5,1,1,5,1,2,2,3,4,2,3,4,2,5,4,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,3,4,4,13,2,5,2.0,1,3.0,6,6,3,4,2,3,3,4,3.0,3,3,5,4,3,1,1,2,1,1,1,4,100.0,1,0,0.0,1,0,0,0.0,0,0,2,3,0,0,1,2,1.0,2,1.0,2,1.0,1,1.0,1,2,4.0,4.0,1.0,37.0,6.0,1.0,2,0,2,42.0,4200,3600,0,121201,분석장비 활용을 위한 위탁교육 장비 계속 개선 형태 연구 분업 생각 때문 분석 지원 일자리 증가 단백질 펩타이드 동정 proteome discoverer_바이오이미징분석 이미지 분석프로그램 Imaris 연구원 전문 분석 기술원 정부출연연구소 연구원 기업연구소 연구원 없음,생명과학
