idx,sq1,sq2,sq3,sq4,sq5,sq6,sq7,sq8,sq9,sq10,sq11,sq12,sq13,sq14,sq15,sq16,kq1_1,kq1_2,kq2_1,kq2_2,kq3_1,kq3_2,kq4_1,kq4_2,kq5_1,kq5_2,kq6_1,kq6_2,kq7_1,kq7_2,kq8_1,kq8_2,kq9_1,kq9_2,kq10_1,kq10_2,kq11_1,kq11_2,kq12_1,kq12_2,kq13_1,kq13_2,kq14_1,kq14_2,kq15_1,kq15_2,kq16_1,kq16_2,kq17_1,kq17_2,kq18_1,kq18_2,kq19_1,kq19_2,kq20_1,kq20_2,kq21_1,kq21_2,kq22_1,kq22_2,kq23_1,kq23_2,kq24_1,kq24_2,kq25_1,kq25_2,kq26_1,kq26_2,kq27_1,kq27_2,kq28_1,kq28_2,kq29_1,kq29_2,kq30_1,kq30_2,kq31_1,kq31_2,kq32_1,kq32_2,kq33_1,kq33_2,bq1,bq2,bq3,bq4,bq5,bq5_1,bq6,bq7,bq8_1,bq8_2,bq8_3,bq9,bq10,bq11,bq12_1,bq12_2,bq12_3,bq12_4,bq12_5,bq13_1,bq13_2,bq13_3,bq14_1,bq14_2,bq14_3,bq14_4,bq14_5,bq15,bq16_1,bq16_2,bq16_3,bq16_4,bq16_5,bq17,bq18_1,bq18_2,bq18_3,bq18_4,bq18_5,bq18_6,bq18_7,bq18_8,bq18_9,bq19,bq20,bq21_1,bq21_2,bq21_3,bq25,bq26,bq27,bq28,bq28_1,bq28_2,bq29,bq30,bq31_1,bq31_2,bq31_3,knowcode,text_response,bef_job,able_job,major,description,bq6_mark,bq12_2_mark,bq12_3_mark,bq12_4_mark
18569,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,3,3,2,2,1,0,2,2,2,2,3,4,4,5,1,0,4,5,4,5,4,5,4,5,5,6,4,5,4,5,3,4,1,0,1,0,2,2,4,5,3,3,2,2,1,0,2,2,3,4,3,4,2,2,2,2,5,6,4,5,4,5,4,5,5,5,15,2,4,1,1,5,3.0,4.0,4,4,3.0,4.0,4.0,4.0,5,5,4,4.0,4,4,3,4,5,5,5,4,5,4,4,4,4,3,4,2,1,1,1,1,2,2,1,1,2,3,4.0,4,4,3.0,1.0,35,4.0,1,1,6,1,40.0,3500,3000,0,812301,전기철도자격증 전동차정비원 전동차 내부 익히기 사람 업무 수송 수요,0,0,기계공학과,철도기관차·전동차 정비원 철도기관차·전동차 정비원,1,0,0,0
18570,4,3,4,4,4,4,3,4,5,4,3,5,4,4,1,2,4,6,3,4,4,5,5,5,3,4,5,6,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,4,1,0,1,0,1,0,1,0,1,0,1,0,1,4,1,3,1,0,1,0,1,0,1,0,4,4,8,1,3,2,2,0,1.0,4.0,4,3,3.0,4.0,4.0,3.0,4,3,3,4.0,4,1,4,3,4,5,3,4,3,3,4,2,3,2,2,3,2,2,2,2,2,2,2,2,2,1,3.0,2,3,3.0,1.0,63,3.0,2,1,5,0,40.0,0,0,5000,15201,운송 시장 변화,"컨테이너 대여사업,랜탈사업",0,경영학,운송 관리자 운송 관리자,0,1,1,0
18571,2,3,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,0,3,4,2,3,2,2,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,4,1,3,1,0,1,0,1,0,2,2,1,0,1,4,1,2,2,0,2.0,2.0,4,4,4.0,4.0,4.0,4.0,3,3,3,3.0,3,4,4,4,4,5,4,4,4,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3.0,4,4,4.0,2.0,62,2.0,2,1,6,0,30.0,0,0,3000,901101,공란,숙박업,0,0,곡식작물 재배원 곡식작물 재배원,0,1,1,1
18572,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,6,5,6,5,6,4,5,4,5,4,5,5,6,3,3,3,3,2,2,2,3,4,5,3,4,3,4,2,3,3,4,3,4,3,4,2,2,5,6,4,6,2,2,1,0,2,2,2,2,4,5,4,5,4,5,4,5,4,5,2,3,15,1,2,1,1,1,4.0,5.0,5,5,5.0,4.0,4.0,4.0,4,3,3,4.0,4,5,5,5,4,5,4,4,4,3,4,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,4.0,2,3,3.0,2.0,33,4.0,1,1,6,1,40.0,3600,2400,0,29903,컴퓨터활용능력2급 행정사자격증 전산실무교육 처리 위해 문서 대행 업무,0,0,행정학,행정사·문서대행자 행정사·문서대행자,0,0,0,0
18573,1,4,4,1,1,2,4,3,4,4,4,5,4,3,1,1,2,2,2,2,2,2,2,2,4,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,2,1,0,2,2,1,4,1,3,1,0,1,0,2,2,2,2,1,0,19,4,1,2,2,0,3.0,1.0,2,2,2.0,4.0,2.0,3.0,2,3,3,3.0,2,3,2,2,3,3,2,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2.0,3,2,2.0,1.0,67,1.0,2,1,6,0,45.0,0,0,1500,561401,일거리,용역회사(청소원),0,0,구두 미화원,1,1,1,1
18574,4,4,4,3,5,4,4,5,3,3,5,4,4,3,3,3,3,2,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,3,1,0,1,0,1,0,1,0,1,4,1,3,2,2,2,2,2,4,1,0,1,0,8,4,1,1,2,0,6.0,2.0,3,3,3.0,2.0,3.0,2.0,2,3,3,3.0,3,2,4,3,3,3,4,2,2,3,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2.0,2,2,2.0,1.0,46,2.0,2,1,6,0,50.0,0,0,3000,704001,건설기계 조종사 면허증 1종대형 특수장비면허증 건설 경기 침체,0,0,인문과,건설 및 채굴기계운전원 건설 및 채굴기계운전원,0,1,1,1
18575,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,2,3,4,6,2,2,3,4,3,4,1,0,3,4,1,0,5,5,1,0,1,0,1,0,1,0,1,0,1,0,3,4,1,0,1,0,1,0,3,4,3,4,3,4,4,6,3,4,1,4,1,3,1,0,2,3,3,4,3,4,1,0,3,1,5,2,1,5,6.0,5.0,3,3,1.0,3.0,3.0,2.0,3,3,3,3.0,3,3,2,3,2,3,3,2,2,4,3,4,4,2,2,4,1,1,1,1,1,1,2,1,2,2,1.0,2,3,2.0,2.0,28,4.0,1,1,6,1,61.0,4800,4250,0,415201,업무프로세스의 이해 패션 제조업 자체 한국 추세 3D그래픽 디자이너 VD 디자이너,0,"스타일 디자이너,소재디자이너",의류과,의상 디자이너 의상 디자이너,0,0,0,0
18576,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,2,3,3,3,2,3,2,2,1,2,2,3,4,2,2,3,5,3,5,3,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,17,5,5,2,1,2,4.0,5.0,4,3,3.0,4.0,4.0,3.0,3,3,4,4.0,4,2,4,3,3,3,4,3,4,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,1,3,5.0,2,3,2.0,2.0,32,5.0,1,1,6,1,40.0,7000,6000,0,29202,관련 업무 증가 서비스 발달,0,0,간호학,의료코디네이터 의료코디네이터,0,0,0,0
18577,3,3,4,3,4,5,5,4,5,5,5,4,3,4,2,4,3,4,3,2,2,4,2,4,3,4,1,0,1,0,1,0,3,3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,1,2,1,1,0,1,0,2,1,2,1,3,4,3,4,2,4,2,4,2,3,3,1,1,0,2,4,5,5,1,0,20,4,1,2,1,3,3.0,5.0,4,4,4.0,3.0,4.0,4.0,4,3,3,3.0,3,3,3,4,4,4,6,4,3,4,4,3,3,3,4,5,2,2,2,2,2,2,2,2,2,4,2.0,2,2,2.0,2.0,32,4.0,1,4,6,2,32.0,2400,2000,0,416303,기상캐스터 교육,사무직,0,인문과,기상캐스터,0,1,1,1
18578,3,3,3,2,3,3,4,3,3,2,3,3,3,3,4,4,4,5,4,6,4,5,4,4,4,4,2,3,2,4,4,4,4,5,4,5,3,4,3,4,5,7,4,5,4,5,4,5,4,5,1,0,4,5,2,2,3,4,3,3,2,2,1,0,2,2,1,0,2,2,2,2,5,5,4,5,5,5,4,5,5,6,15,2,4,1,1,4,5.0,4.0,4,4,4.0,4.0,4.0,4.0,5,5,4,4.0,4,4,3,4,5,5,4,5,5,4,4,4,4,3,4,2,2,1,1,1,2,2,2,2,2,2,4.0,5,5,4.0,1.0,40,4.0,1,1,6,1,40.0,3900,3000,0,812301,전기철도차량정비기사 기초훈련 자동화 프로그램 수용 수요 인원,0,0,기계자동차학과,철도기관차·전동차 정비원 철도기관차·전동차 정비원,0,0,0,0
