idx,knowcode,knowcode,
0,29401,29401,FALSE
1,158501,158501,FALSE
2,416304,416304,FALSE
3,121102,121102,FALSE
4,412003,412003,FALSE
5,414503,414503,FALSE
6,301004,301004,FALSE
7,12102,12102,FALSE
8,9999999,9999999,FALSE
9,9999999,9999999,FALSE
10,863201,863201,FALSE
11,13101,13101,FALSE
12,9999999,9999999,FALSE
13,155301,155301,FALSE
14,301004,301004,FALSE
15,9999999,9999999,FALSE
16,415101,415101,FALSE
17,861201,861201,FALSE
18,301004,301004,FALSE
19,881101,811601,TRUE
20,541301,541301,FALSE
21,624201,624201,FALSE
22,414401,414401,FALSE
23,134101,134101,FALSE
24,13202,13202,FALSE
25,9999999,9999999,FALSE
26,232901,232901,FALSE
27,24402,24402,FALSE
28,817101,817101,FALSE
29,301004,301004,FALSE
30,826101,826101,FALSE
31,140201,140201,FALSE
32,301004,301004,FALSE
33,9999999,9999999,FALSE
34,221102,221102,FALSE
35,411202,411202,FALSE
36,9999999,24203,TRUE
37,9999999,9999999,FALSE
38,9999999,9999999,FALSE
39,211201,211201,FALSE
40,831101,831101,FALSE
41,9999999,9999999,FALSE
42,882301,882301,FALSE
43,412003,412003,FALSE
44,9999999,9999999,FALSE
45,863301,863301,FALSE
46,157101,157101,FALSE
47,211101,211101,FALSE
48,702201,702201,FALSE
49,420301,420301,FALSE
50,232101,232101,FALSE
51,9999999,9999999,FALSE
52,134303,134401,TRUE
53,211101,211101,FALSE
54,132004,132004,FALSE
55,158201,158201,FALSE
56,212101,212101,FALSE
57,306903,306903,FALSE
58,826101,826101,FALSE
59,110103,110103,FALSE
60,22103,22103,FALSE
61,301108,301108,FALSE
62,24203,24203,FALSE
63,155501,155501,FALSE
64,214301,214301,FALSE
65,212101,212101,FALSE
66,420101,420101,FALSE
67,9999999,9999999,FALSE
68,9999999,9999999,FALSE
69,9999999,9999999,FALSE
70,414701,414701,FALSE
71,159104,159104,FALSE
72,301201,301201,FALSE
73,416401,416401,FALSE
74,622304,622304,FALSE
75,612101,612101,FALSE
76,28203,28203,FALSE
77,531601,531601,FALSE
78,301201,301201,FALSE
79,9999999,9999999,FALSE
80,211201,211201,FALSE
81,140401,140401,FALSE
82,522101,522101,FALSE
83,622201,622201,FALSE
84,16201,16201,FALSE
85,301105,301112,TRUE
86,522202,522202,FALSE
87,301004,301004,FALSE
88,882101,882101,FALSE
89,521201,521201,FALSE
90,140204,140204,FALSE
91,884102,884102,FALSE
92,121104,121104,FALSE
93,9999999,9999999,FALSE
94,13204,13204,FALSE
95,9999999,862201,TRUE
96,211101,211101,FALSE
97,9999999,9999999,FALSE
98,835201,835201,FALSE
99,612101,612101,FALSE
100,414702,414702,FALSE
101,29401,29401,FALSE
102,212101,212101,FALSE
103,212101,212101,FALSE
104,532101,532101,FALSE
105,816103,816103,FALSE
106,32401,32401,FALSE
107,873301,873301,FALSE
108,32302,32302,FALSE
109,140301,140305,TRUE
110,301108,301108,FALSE
